Type,Code,Value,Comment
Reload,-32700,JSON protocol parse error / JSON parse error,"Failed to parse a Json request to engine, '}' on wrong place for instance. Do Not translate [JSON]. JSON stands for JavaScript Object Notation "
Reload,-32603,Internal JSON protocol error / Internal JSON-RPC error,Internal error when setting up a request to engine. Do Not translate [JSON]. JSON stands for JavaScript Object Notation
Reload,-32602,Invalid JSON protocol parameters / Invalid method parameter(s),Wrong parameters specified in a json request to engine. Do Not translate [JSON]. JSON stands for JavaScript Object Notation
Reload,-32601,Requested protocol method does not exist / Method does not exist,"Requested protol method does not exist in engines API, could be wrong spelling"
Reload,-32600,Invalid JSON protocol request / Invalid JSON request,Something went wrong when handling a request. Do Not translate [JSON]. JSON stands for JavaScript Object Notation
Reload,-129,Internal engine error,Something went wrong internally inside the engine. Likely low on resources (RAM).
Reload,-128,Internal engine error / Internal error,Something went wrong internally inside the engine. Likely a memory access violation.
Reload,-65,The request to the QBDI cluster failed,"Generic message for any error on the BDI side, causing the request from the engine to BDI cluster to fail."
Reload,-1,Unknown error / Unknown error,Generic message for e.g. when the session has been killed or cannot be initialized due to unknown reasons.
Reload,0,Unknown error / OK,Something unspecified happen
Reload,1,Some data is not correctly specified. / Resource not set,"For example, a Variable is not set as it should"
Reload,2,The resource could not be found. / Resource not found,Happens when a resource
Reload,3,Resource already exists. / Resource already exists,Happens when a resource like a file or folder given was already existing
Reload,4,Invalid path / Invalid path,"Invalid document path. Invalid characters in document name e.g., \, //, .., <, >, | etc on OpenDoc"
Reload,5,Access is denied / Access denied,Access rights problems on OpenDoc
Reload,6,The system is out of memory. / Out of memory,Generic error that can be thrown if engine detects the system is out of memory upon a request
Reload,7,Not initialized / Not initialized,Not used right now but can be thrown if a system is not initialized when a request arrives for example
Reload,8,Invalid parameters / Invalid parameters,Thrown when QV API gets invalid input parameters
Reload,9,Some parameters are empty. / Empty parameters,Happens when engine expects parameters to certain requests but no parameters were given
Reload,10,Internal error / Internal error,Something went wrong internally inside the engine
Reload,11,Corrupted data / Corrupt data,"For example, Problem mapping up a table in the hypercube "
